"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"1","10_A_65",32090,39090,-0.605510054235651,0.108396497246005,"june",1,0,1599.28963924274,33689.2896392427,5400.71036075726
"2","10_B_66",35330,40000,0.754387755644052,0.360371525404632,"june",1,0,1798.61579445734,37128.6157944573,2871.38420554266
"3","10_C_67",31410,38550,-0.890920705691887,-0.0411271458371387,"june",1,0,1562.79371485799,32972.793714858,5577.20628514201
"4","10_D_68",32030,38510,-0.630693347011202,-0.0522029712507045,"june",1,0,1570.78855408219,33600.7885540822,4909.21144591781
"5","162_A_941",30870,38220,-1.11757034067184,-0.132502705499058,"june",1,0,1502.55255982383,32372.5525598238,5847.44744017617
"6","162_B_942",30780,39040,-1.15534527983516,0.0945517154790463,"june",1,0,1552.54204187362,32332.5420418736,6707.45795812638
"7","162_C_943",30790,38390,-1.15114806437257,-0.0854304474914021,"june",1,0,1507.18353454865,32297.1835345487,6092.81646545135
"8","162_D_944",30780,38570,-1.15534527983516,-0.0355892331303548,"june",1,0,1520.55510290145,32300.5551029014,6269.44489709855
"9","166_A_965",33190,39450,-0.143816353350568,0.2080789259681,"june",1,0,1762.1194580265,34952.1194580265,4497.88054197351
"10","166_C_967",33160,39390,-0.156407999738344,0.19146518784775,"june",1,0,1761.35440551694,34921.3544055169,4468.64559448307
"11","170_A_989",32050,39100,-0.62229891608602,0.111165453599396,"june",1,0,1595.41228321166,33645.4122832117,5454.58771678834
"12","170_B_990",31350,39310,-0.916103998467436,0.169313537020618,"june",1,0,1569.53291076807,32919.5329107681,6390.46708923193
"13","170_C_991",31560,38660,-0.827962473753012,-0.0106686259498322,"june",1,0,1566.47138313511,33126.4713831351,5533.52861686489
"14","170_D_992",31670,38820,-0.781793103664502,0.0336346757044332,"june",1,0,1568.91454579346,33238.9145457935,5581.08545420654
"15","188_A_1197",32730,39710,-0.336888264629786,0.280071791156278,"june",1,0,1758.07111729294,34488.0711172929,5221.92888270707
"16","188_B_1198",35170,40000,0.687232308242586,0.360371525404632,"june",1,0,1794.64324023506,36964.6432402351,3035.35675976494
"17","19_B_126",31940,39070,-0.668468286174527,0.102858584539221,"june",1,0,1583.46277099258,33523.4627709926,5546.53722900742
"18","19_C_127",31370,38570,-0.907709567542253,-0.0355892331303548,"june",1,0,1562.18848480207,32932.1884848021,5637.81151519793
"19","19_D_128",34440,40000,0.380835579473392,0.360371525404632,"june",1,0,1789.41865667945,36229.4186566795,3770.58134332055
"20","201_A_1269",36190,40000,1.11534828542694,0.360371525404632,"june",1,0,1823.55145232385,38013.5514523239,1986.44854767615
"21","201_B_1270",32400,39090,-0.475396374895311,0.108396497246005,"june",1,0,1656.66158666823,34056.6615866682,5033.33841333177
"22","201_C_1271",35290,39230,0.737598893793686,0.147161886193484,"june",1,0,1790.39713409339,37080.3971340934,2149.60286590661
"23","201_D_1272",33040,40000,-0.206774585289443,0.360371525404632,"june",1,0,1764.07297110841,34804.0729711084,5195.92702889159
"24","206_A_1329",31700,38870,-0.769201457276728,0.04747945747139,"june",1,0,1569.81211284097,33269.812112841,5600.18788715902
"25","206_B_1330",32260,39260,-0.534157391371595,0.155468755253659,"june",1,0,1653.84600975518,33913.8460097552,5346.15399024483
"26","206_C_1331",35010,40000,0.620076860841118,0.360371525404632,"june",1,0,1792.31047982255,36802.3104798226,3197.68952017745
"27","209_A_1365",32110,38820,-0.597115623310469,0.0336346757044332,"june",1,0,1582.2687941727,33692.2687941727,5127.7312058273
"28","209_B_1366",31480,39030,-0.861540197453745,0.0917827591256553,"june",1,0,1568.53930236364,33048.5393023636,5981.46069763636
"29","209_C_1367",31820,38950,-0.718834871725628,0.0696311082985236,"june",1,0,1573.59675524022,33393.5967552402,5556.40324475978
"31","214_A_1425",36520,40000,1.25385639569246,0.360371525404632,"june",1,0,1826.10760864673,38346.1076086467,1653.89239135327
"32","214_B_1426",31360,38450,-0.911906783004846,-0.0688167093710523,"june",1,0,1559.09244546633,32919.0924454663,5530.90755453367
"34","221_D_1512",31810,38800,-0.72303208718822,0.0280967629976493,"june",1,0,1570.74826259565,33380.7482625957,5419.25173740435
"35","231_B_1630",35490,40000,0.82154320304552,0.360371525404632,"june",1,0,1804.353065868,37294.353065868,2705.646934132
"36","231_C_1631",32660,39190,-0.366268772867928,0.136086060779919,"june",1,0,1724.59450668461,34384.5945066846,4805.4054933154
"37","231_D_1632",33540,39980,0.00308618784014112,0.354833612697848,"june",1,0,1771.71484326321,35311.7148432632,4668.28515673679
"38","233_A_1653",31450,38680,-0.87413184384152,-0.00513071324304826,"june",1,0,1565.28895248872,33015.2889524887,5664.71104751129
"39","233_B_1654",33340,38720,-0.0808581214116907,0.00594511217051758,"june",1,0,1753.56136965025,35093.5613696503,3626.43863034974
"40","233_C_1655",34470,40000,0.393427225861167,0.360371525404632,"june",1,0,1789.54146324252,36259.5414632425,3740.45853675748
"41","233_D_1656",33150,39370,-0.160605215200935,0.185927275140966,"june",1,0,1761.0509556486,34911.0509556486,4458.9490443514
"42","236_B_1690",32870,38870,-0.278127248153502,0.04747945747139,"june",1,0,1719.96232165905,34589.9623216591,4280.03767834094
"43","236_D_1692",35690,40000,0.905487512297352,0.360371525404632,"june",1,0,1812.44939775549,37502.4493977555,2497.55060224451
"44","242_A_1761",32550,39040,-0.412438142956436,0.0945517154790463,"june",1,0,1682.40932493491,34232.4093249349,4807.5906750651
"45","242_B_1762",32710,39770,-0.345282695554968,0.296685529276628,"june",1,0,1758.66705856581,34468.6670585658,5301.33294143419
"46","242_C_1763",32100,38540,-0.60131283877306,-0.0438961021905297,"june",1,0,1572.81956540303,33672.819565403,4867.18043459697
"50","248_C_1835",33020,39230,-0.215169016214625,0.147161886193484,"june",1,0,1756.0088272,34776.0088272,4453.9911728
"51","248_D_1836",33110,40000,-0.177394077051301,0.360371525404632,"june",1,0,1764.6405657814,34874.6405657814,5125.3594342186
"52","250_A_1857",35110,39780,0.662049015467035,0.299454485630019,"june",1,0,1791.69797554849,36901.6979755485,2878.30202445151
"54","250_C_1859",36380,40000,1.19509537921618,0.360371525404632,"june",1,0,1825.0341609199,38205.0341609199,1794.96583908011
"56","30_A_185",32370,40000,-0.487988021283086,0.360371525404632,"june",1,0,1753.16610128085,34123.1661012808,5876.83389871915
"57","30_C_187",31450,38990,-0.87413184384152,0.0807069337120895,"june",1,0,1567.89805711949,33017.8980571195,5972.10194288051
"58","35_A_221",36060,40000,1.06078448441325,0.360371525404632,"june",1,0,1822.04490379139,37882.0449037914,2117.95509620861
"59","35_B_222",32140,39240,-0.584523976922694,0.149930842546877,"june",1,0,1625.16451688856,33765.1645168886,5474.83548311143
"60","35_C_223",31880,38960,-0.693651578950078,0.0724000646519146,"june",1,0,1575.89582230163,33455.8958223016,5504.10417769837
"61","35_D_224",33050,39600,-0.202577369826852,0.249613271268972,"june",1,0,1761.86235605153,34811.8623560515,4788.13764394847
"62","46_A_281",31340,38760,-0.920301213930029,0.0170209375840834,"june",1,0,1564.52091503561,32904.5209150356,5855.47908496439
"63","46_B_282",31700,39280,-0.769201457276728,0.161006667960443,"june",1,0,1578.57173222816,33278.5717322282,6001.42826777184
"64","46_C_283",32090,39180,-0.605510054235651,0.133317104426528,"june",1,0,1608.71796030664,33698.7179603066,5481.28203969335
"66","70_B_426",31680,39020,-0.777595888201912,0.0890138027722643,"june",1,0,1571.42896820802,33251.428968208,5768.57103179198
"67","70_C_427",31370,38900,-0.907709567542253,0.0557863265315648,"june",1,0,1566.36188701204,32936.361887012,5963.63811298796
"68","70_D_428",37520,40000,1.67357794195163,0.360371525404632,"june",1,0,1893.69656748999,39413.69656749,586.303432510009
"69","101",33320,39320,0.747398525989162,0.677404448369956,"aug",0,1,1823.95793494337,35143.9579349434,4176.04206505663
