"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__BreedTypeInbred","m__est__mean.QTL.add","m__est__BreedTypeInbred:mean.QTL.add","m__se__(Intercept)","m__se__BreedTypeInbred","m__se__mean.QTL.add","m__se__BreedTypeInbred:mean.QTL.add","v__est__(Intercept)","v__est__BreedTypeInbred","v__est__var.QTL.add","v__est__BreedTypeInbred:var.QTL.add","v__se__(Intercept)","v__se__BreedTypeInbred","v__se__var.QTL.add","v__se__BreedTypeInbred:var.QTL.add"
"1","A","1","gpm27",0.01,0,1,0,1,0,1,6997.1545050599,-1029.00475113808,-350.376852004014,407.823431108165,712.3967594862,773.005961014002,464.727899644195,503.696091230171,16.5591782130345,-0.309307422272348,-0.0210793315129851,-0.0908548814729171,0.4388982900931,0.489104907314324,0.288733153125417,0.323771508081858
"2","A","1","tub1",0.81,0,1,0,1,0,1,6745.73403068743,-723.3651674257,-131.532068965173,139.61463509859,717.353291795506,778.027420693238,459.25280714958,498.223568823614,16.5412585654611,-0.292544556307544,-0.000337014520468077,-0.108524407118188,0.42874157465497,0.476701200657006,0.274518305225716,0.308085946511325
"3","A","1","gpm113b",0.82,0,1,0,1,0,1,6742.56771797277,-719.212228318162,-128.879550953269,136.081064097377,717.26678117987,777.94809958685,459.035173573737,498.012409600439,16.5410128099539,-0.292293178831159,-0.000101048289428047,-0.108749123654935,0.428847099671178,0.476818423810138,0.274463641010244,0.308043708008064
"4","A","1","gpm705a",0.84,0,1,1.97494265150113e-13,0.999999999999901,0,1,6742.55992985986,-713.449670119983,-128.872720589012,130.928931194499,717.274295672867,777.809233746299,459.040793392898,498.075973736161,16.5410151076679,-0.29371174750214,-0.000102820426758922,-0.10756349975882,0.431811682553921,0.480070519601337,0.276361663135099,0.310246458514832
"5","A","1","gpm325a",4.97,0,1,0,1,0,1,6398.60666919484,-402.965437356226,140.89091976782,-108.875478786717,801.936040886111,855.697779827826,482.904678148975,520.229748778066,16.6210568754579,-0.402357254577539,-0.0619246890278329,-0.0169430592984414,0.504844014532005,0.554717107352595,0.310164687744919,0.346303588522783
"6","A","1","dmt103b",6.89,0,1,-1.97494265150113e-13,1,0,1,6337.90773359789,-326.449301133063,184.850940540533,-167.002175218346,820.687404847222,873.228923577573,493.324622350271,529.891793630992,16.628504042251,-0.409312418206507,-0.0676966507191075,-0.0116716202226714,0.506739997496065,0.554790004797066,0.31118033750117,0.346065884806553
"7","A","1","gpm699d",8.67,0,1,0,1,0,1,6394.37843812131,-337.974124504773,143.715132475118,-166.118789163672,820.394180907516,873.977281213933,496.190262066199,533.490401491836,16.6292433542175,-0.398254726000868,-0.0681564620041363,-0.0228261597767824,0.49643286648329,0.543982665089343,0.306750858266865,0.341562861104903
"8","A","1","gpm319",14.82,0,1,0,1,0,1,5549.57941529511,463.022625236834,689.082469938243,-672.479611511456,1016.38691248425,1058.08028870866,563.949619978887,596.992155163133,16.7816636390095,-0.624006312088297,-0.184064495692824,0.162570777509046,0.550127538803194,0.591566111238371,0.317533190739671,0.34956075979116
"9","A","1","IDP1447",19.92,0,1,0,1,0,1,5172.2050008302,819.203064090681,971.509001895357,-930.620294799328,951.726916979434,986.610979163411,533.673071663081,566.604621278423,16.749995543131,-0.65631468587918,-0.187743732854779,0.227703302354096,0.570731459371991,0.610408461710041,0.334636029166304,0.368876162640763
"10","A","1","bnl5.62a",21.12,0,1,0,1,0,1,5171.76429984927,803.81439032544,971.765125225045,-914.402960706337,951.756265031019,986.484709439473,533.659269441851,566.385448333296,16.7500570738531,-0.653617729653918,-0.187799404366525,0.225028120349604,0.593818699551375,0.634819057992757,0.348157542400189,0.383569822983579
"11","A","1","IDP1464",21.17,0,1,0,1,0,1,5171.78050547433,803.799566097746,971.753550003349,-914.392772877316,951.75561251392,986.484046216714,533.658721088424,566.384890738481,16.7500557491195,-0.653616136221504,-0.187797688456578,0.225026173688782,0.593327984400375,0.634294415563477,0.347869602843906,0.383252599473153
"12","A","1","fus6",22.62,-1.97494265150113e-13,1,0,1,0,1,5346.36603705329,630.121146525614,813.533111728516,-757.151017786394,1073.31029696381,1104.28006220458,590.316759297725,620.103362169544,16.8419448787671,-0.745166940399141,-0.229707529481656,0.266584035516686,0.596638209655806,0.632293813328571,0.343329352514363,0.374719977447914
"13","A","1","AY109692",23.62,0,1,0,1,0,1,5377.4924260412,595.476811409105,795.096937180213,-735.024123302973,1072.21018257563,1103.24467851362,591.107389827461,620.949391246778,16.8401550397393,-0.742581505948137,-0.228172616817406,0.264266219311199,0.608600695151486,0.644988628685167,0.350935088213294,0.383001698023503
"14","A","1","mmp102",24.42,0,1,0,1,0,1,4763.66285391598,1209.26531772096,1191.18029090559,-1133.42816909014,1000.8711665762,1035.07224642073,555.119757783497,586.797339843319,16.6962428790864,-0.609465759589196,-0.151671676912954,0.196698439028443,0.612391212566378,0.650353816886218,0.350527718001068,0.382977335126366
"15","A","1","AY110314",29.42,0,1,0,1,-1.97494265150113e-13,1,5489.02466613552,398.634915495512,753.90201832072,-604.058069564468,951.534485191871,986.803839301981,535.487767270977,569.286597777386,16.7495393194802,-0.643508380058313,-0.171843551524247,0.198101771521914,0.544351633597385,0.582138332938288,0.31926051782038,0.352927497523923
"16","A","1","umc94a",38.62,0,1,0,1,0,1,6003.26446451213,-106.279489171999,476.828491669233,-325.383101980854,808.307840093463,848.73818824007,479.415982198895,516.859855261019,16.7799767296971,-0.623765129388965,-0.22726660415297,0.198913636610554,0.445695692500082,0.486481633508898,0.285423570714857,0.321393155889987
"17","A","1","gpm331",38.71,0,1,0,1,0,1,6001.00209133614,-105.221149684925,478.275464336585,-325.655665190825,809.663066805825,850.055952254291,480.135866110857,517.570084553729,16.7810775506613,-0.625675872568045,-0.228160336463517,0.200747681067391,0.447741569303499,0.488660151649009,0.286729609156827,0.322799012693519
"18","A","1","lim179",47.02,1.97494265150113e-13,0.999999999999901,0,1,0,1,6104.49067492835,-1.91699768623737,387.132475665945,-460.313904222313,839.620130073323,884.270442652341,493.246575521923,529.266056916823,16.8156917188435,-0.595768300014232,-0.25231059131465,0.158729151655039,0.436523932185345,0.477691400912563,0.27796066505596,0.311420492269769
"19","A","1","IDP755",52.47,0,1,0,1,0,1,6740.33447950106,-756.438954565034,-125.650236007362,175.665367309381,847.476443735339,892.003213045275,493.235400298199,528.364801772224,16.8618396208742,-0.606811785988296,-0.296053704185774,0.158268784875912,0.469224309527304,0.51340075278655,0.300248228503032,0.336410841367065
"20","A","1","AY107629",54.63,0,1,0,1,0,1,6743.84098733447,-815.913384516189,-129.889917951077,238.068140540192,838.76070322311,884.024161800519,488.633197387069,524.308305350731,16.8536540622177,-0.604968127162571,-0.289869403836327,0.160290756446956,0.463720441383303,0.508637344814572,0.296772828377295,0.33318946284431
"21","A","1","mmp49",56.12,0,1,0,1,0,1,6729.70213096911,-849.898134672505,-117.680735870532,273.491019498639,842.188233159672,886.909335717713,491.01634628541,526.183244729946,16.8562840663161,-0.623011617402269,-0.291380372029014,0.180173023801241,0.471549200485627,0.517168171096042,0.30202881680444,0.338326747428813
"22","A","1","cdo1081a",57.82,0,1,0,1,-1.97494265150113e-13,1,6548.06475209096,-583.308421264376,29.1654680554782,37.8563103868595,922.599718485011,963.933043186638,520.638182404726,554.115106701853,16.9341850214379,-0.712892937019007,-0.34519879043068,0.252156078325762,0.487595501558872,0.531102589074278,0.302805415833271,0.337712222474435
"23","A","1","asg31",65.22,0,1,0,1,0,1,6440.67761784211,-241.751677609475,113.741411740077,-288.669951293379,894.695493145605,937.062350776267,508.598860063462,542.33876536105,16.9134078465238,-0.661160927913653,-0.334904863029244,0.198310550988063,0.467513674451613,0.509510734743664,0.293032424371199,0.327540526922917
"24","A","1","npi415",66.02,0,1,0,1,0,1,6453.98648054213,-252.232696780782,104.780540059227,-283.237221313361,887.852050161685,931.063782868234,510.632979464357,544.42161110651,16.9014053022493,-0.636227898793721,-0.326416578681351,0.173652414041018,0.463241776049595,0.504916083212792,0.293180676149287,0.3273499095056
"25","A","1","ufg31",71.62,0,1,0,1,0,1,6435.19788372919,-159.41644264212,126.580759111597,-401.582449961324,797.22242342052,843.990232330019,477.985423035276,513.112791398148,16.8172390489782,-0.516534724512792,-0.267211281638437,0.044129466236892,0.422044679808832,0.462779089350744,0.277999218690874,0.312532528130524
"26","A","1","gpm330",71.91,1.97494265150113e-13,0.999999999999901,0,1,0,1,6431.5781865034,-155.90334632509,129.608153938529,-404.529272556455,797.304514671492,844.060176283231,478.077847727429,513.20476321661,16.817716579477,-0.517121177998349,-0.267857366332356,0.0449003121176265,0.423553524464622,0.464441660804725,0.279074530731593,0.313736470800256
"27","A","1","ufg33",72.02,1.97494265150113e-13,0.999999999999901,0,1,1.97494265150113e-13,1,6031.34571665862,233.312444177795,494.367589045599,-773.825562057108,782.019342599586,826.075761128384,471.309699931393,507.524324156924,16.8463132343686,-0.581959866709208,-0.334147701233338,0.14970193417432,0.398388276168626,0.437307122436883,0.271617897847543,0.305885600691003
"28","A","1","ufg32",72.82,0,1,0,1,0,1,6030.94491832407,280.118272726518,495.089364086981,-840.973859901255,781.336404626403,824.240325521088,470.900994633811,506.659550567431,16.8459286979788,-0.585547087275283,-0.334217315700128,0.142389635798005,0.403352548784412,0.441916832826992,0.275052907681623,0.309894907060609
"29","A","1","ufg34",74.42,0,1,0,1,0,1,6028.49334826541,282.27667090998,498.097339296736,-843.957328674538,780.516875071753,823.419247331937,470.470970098528,506.300606135013,16.8453346099425,-0.585586411158072,-0.334395891208634,0.143382538798885,0.405290188606252,0.444084507710123,0.276487057457941,0.311573798006462
"30","A","1","AY108650",77.57,0,1,0,1,0,1,6198.21458380337,32.1377825210743,331.140924916692,-565.250630013722,800.446126623254,845.901839512687,481.879059695677,518.072874057963,16.846596826654,-0.554589514060016,-0.310691095534892,0.0931822873760323,0.430226689164436,0.471828768514232,0.288889679813735,0.325673366115658
"31","A","1","gpm495",80.45,0,1,0,1,0,1,6486.20196954471,-324.932562921407,83.8730756839236,-241.714568009446,794.465593522896,838.263691630975,475.491306819311,511.269964019923,16.8101901354823,-0.528168574733526,-0.258483831409855,0.0516196848135869,0.438544923860984,0.478913530607621,0.287659892136163,0.324842584973999
"32","A","1","gpm83b",80.75,0,1,0,1,0,1,6519.15855698287,-360.027236931942,56.5086252643171,-211.472053527324,794.132370958616,837.931175916482,474.526323413146,510.264724144953,16.8069868513306,-0.524704312797944,-0.253959759013309,0.0470819513106526,0.435370349533193,0.475301199477838,0.284751449049206,0.321545114724413
"33","A","1","gpm767",80.94,0,1,0,1,0,1,6519.16140068357,-361.420592790207,56.506085493734,-209.845202329936,794.132051852605,837.871840359387,474.52533042206,510.220943699949,16.8069875336131,-0.524993601444581,-0.253960330736696,0.0473565364868227,0.442365389217898,0.482885426372743,0.289326120704489,0.326665168954956
"34","A","1","bnlg1014",81.12,0,1,0,1,0,1,6519.55965225364,-376.724639841951,56.2018948640985,-196.052378049874,792.773088568802,834.535220448623,473.820621820583,509.139583823157,16.8056700770316,-0.542663823103398,-0.252864513805183,0.0684418070993676,0.446445539365306,0.486205637268004,0.291997025438492,0.329423878715655
"35","A","1","umc1363a",82.02,0,1,0,1,0,1,6518.9188533479,-463.659928284044,56.7918440802302,-85.7811591970327,792.84781415073,834.701449644665,473.898065805304,509.729384004468,16.8055653343962,-0.563702651202854,-0.252676149284559,0.109655475693468,0.434384360330328,0.473935658729434,0.284107808425655,0.320134230300189
"36","A","1","gst12",83.52,0,1,0,1,0,1,6518.98302539821,-474.037629527746,56.7184568261772,-74.044170624802,792.821496546459,832.963170932768,473.873206673985,510.345673963263,16.8056224327234,-0.582036282425165,-0.252772256873362,0.130622352909351,0.425693473526229,0.463562976342068,0.278427684243197,0.314356015614543
"37","A","1","umc1269",84.62,1.97494265150113e-13,0.999999999999901,1.97494265150113e-13,0.999999999999901,1.97494265150113e-13,1,6519.40379039192,-482.451648289906,56.3456542534045,-63.6694266604381,792.813089424351,832.942690270252,473.850027268118,510.347923562805,16.8056659448495,-0.580490621701585,-0.252836589328304,0.127918534506755,0.425772313833558,0.463589963508774,0.27847519409405,0.31450567095909
"38","A","1","umc2012",85.72,0,1,0,1,0,1,6520.2656688316,-490.526213963918,55.6121641342944,-53.7799966635805,792.746877572545,832.816950682009,473.844934100493,510.292203216193,16.8056636956328,-0.579359504191605,-0.252894460100135,0.125787208145808,0.428317727805308,0.46627329187927,0.280165677655005,0.316432962073573
"39","A","1","umc1977",87.52,-1.97494265150113e-13,1,-1.97494265150113e-13,1,-1.97494265150113e-13,1,5986.27879060413,-46.0754109534579,562.432524742918,-441.59413598516,750.399840580468,788.970110456459,453.325065689553,492.95078280835,16.8136413813139,-0.651368696846639,-0.323455846880349,0.282676844677083,0.408667981320919,0.44809350825171,0.280023240986981,0.317548407533036
"40","A","1","IDP553",88.91,0,1,0,1,0,1,5986.35718690715,-39.4771895627694,562.378530861093,-453.226375458601,750.390384255654,790.203920230051,453.328293065917,492.409930625545,16.8136257920103,-0.635697628298596,-0.323443807292181,0.262535444752725,0.404536619015651,0.444198473515535,0.277196594267183,0.314085573686901
"41","A","1","IDP4043",89.33,0,1,0,1,1.97494265150113e-13,1,5986.34059525342,-34.7345452007789,562.387586260222,-459.392860000212,750.395786168556,790.552426130725,453.329887831961,492.601141899255,16.8136322919058,-0.630680473849988,-0.323447496582654,0.255766361615755,0.403970488722024,0.443725302442392,0.276807886614309,0.313906648675281
"42","A","1","php20603",90.02,0,1,0,1,0,1,6181.42114808647,-230.004817258439,347.153034874556,-245.297488359953,803.183449127576,841.745003791289,487.015525448252,524.246148649581,16.8219999912354,-0.630657538690453,-0.27584225848984,0.197519379952166,0.443019245476818,0.481854503810946,0.295711647023885,0.33283408392812
"43","A","1","sgb101",90.74,1.97494265150113e-13,0.999999999999901,1.97494265150113e-13,0.999999999999901,1.97494265150113e-13,1,5903.68559695114,85.2831942506185,577.223550794091,-526.222236947226,772.032534677896,810.625667796353,480.378573098295,519.616984507223,16.7060008278909,-0.599291699997288,-0.164763267789338,0.19635497839944,0.443247251414606,0.482582137253358,0.292610007325847,0.328904768236525
